VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Brain_Cerebellar_Hemisphere	COVAR	17345	0.028369	0.05693	0.0046563	5.681e-10	Brain_Cerebellar_Hemisphere	f1070	Time watching TV	1.47706e-08	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17345	0.030278	0.060111	0.0047985	1.4308e-10	Brain_Cerebellum	f1070	Time watching TV	3.72008e-09	TRUE	Brain Cerebellum
Brain_Cortex	COVAR	17345	0.030083	0.054868	0.0054554	1.7774e-08	Brain_Cortex	f1070	Time watching TV	4.62124e-07	TRUE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17345	0.028721	0.052928	0.0052621	2.4424e-08	Brain_Frontal_Cortex_BA9	f1070	Time watching TV	6.35024e-07	TRUE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17345	0.026814	0.045412	0.0061126	5.792e-06	Brain_Hippocampus	f1070	Time watching TV	0.000150592	TRUE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17345	0.027305	0.047005	0.0062143	5.6008e-06	Brain_Hypothalamus	f1070	Time watching TV	0.0001456208	TRUE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17345	0.029794	0.051693	0.0058189	1.5427e-07	Brain_Nucleus_accumbens_basal_ganglia	f1070	Time watching TV	4.01102e-06	TRUE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17345	0.025851	0.043988	0.0060824	1.0743e-05	Brain_Putamen_basal_ganglia	f1070	Time watching TV	0.000279318	TRUE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17345	0.0085375	0.015348	0.0066275	0.098847	Brain_Spinal_cord_cervical_c-1	f1070	Time watching TV	1	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17345	0.017059	0.029369	0.0065937	0.0048431	Brain_Substantia_nigra	f1070	Time watching TV	0.1259206	FALSE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17345	-0.029993	-0.057696	0.0097516	0.99895	Breast_Mammary_Tissue	f1070	Time watching TV	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17345	-0.0051677	-0.011075	0.0050225	0.84823	Cells_Cultured_fibroblasts	f1070	Time watching TV	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17345	-0.00043934	-0.00095876	0.0037558	0.54656	Cells_EBV-transformed_lymphocytes	f1070	Time watching TV	1	FALSE	Cells EBV-transformed lymphocytes
Cervix_Ectocervix	COVAR	17345	-0.020249	-0.039706	0.0092942	0.98531	Cervix_Ectocervix	f1070	Time watching TV	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17345	-0.01412	-0.027965	0.0088771	0.94415	Cervix_Endocervix	f1070	Time watching TV	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17345	-0.029841	-0.058404	0.0096497	0.99901	Colon_Sigmoid	f1070	Time watching TV	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17345	-0.025748	-0.047368	0.0088802	0.99813	Colon_Transverse	f1070	Time watching TV	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17345	-0.027403	-0.053961	0.0099683	0.99701	Esophagus_Gastroesophageal_Junction	f1070	Time watching TV	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17345	-0.0030797	-0.0059566	0.0058397	0.70103	Esophagus_Mucosa	f1070	Time watching TV	1	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17345	-0.030861	-0.060891	0.0096629	0.9993	Esophagus_Muscularis	f1070	Time watching TV	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17345	-0.019199	-0.03726	0.0091097	0.98246	Fallopian_Tube	f1070	Time watching TV	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17345	-0.026205	-0.047055	0.0073019	0.99983	Heart_Atrial_Appendage	f1070	Time watching TV	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17345	-0.022359	-0.037327	0.0069386	0.99936	Heart_Left_Ventricle	f1070	Time watching TV	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17345	-0.02611	-0.045898	0.0068791	0.99993	Kidney_Cortex	f1070	Time watching TV	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17345	-0.017902	-0.03312	0.0071022	0.99414	Kidney_Medulla	f1070	Time watching TV	1	FALSE	Kidney Medulla
Liver	COVAR	17345	-0.014882	-0.026802	0.0048471	0.99893	Liver	f1070	Time watching TV	1	FALSE	Liver
Lung	COVAR	17345	-0.023099	-0.044678	0.0070262	0.99949	Lung	f1070	Time watching TV	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17345	-0.014859	-0.027667	0.0074393	0.9771	Minor_Salivary_Gland	f1070	Time watching TV	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17345	-0.013916	-0.026327	0.0052525	0.99596	Muscle_Skeletal	f1070	Time watching TV	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17345	-0.012874	-0.02592	0.007736	0.95195	Nerve_Tibial	f1070	Time watching TV	1	FALSE	Nerve Tibial
Ovary	COVAR	17345	-0.0063424	-0.01286	0.0073828	0.80484	Ovary	f1070	Time watching TV	1	FALSE	Ovary
Pancreas	COVAR	17345	-0.006921	-0.011575	0.0064215	0.85943	Pancreas	f1070	Time watching TV	1	FALSE	Pancreas
Pituitary	COVAR	17345	0.022561	0.042068	0.006893	0.00053302	Pituitary	f1070	Time watching TV	0.01385852	TRUE	Pituitary
Prostate	COVAR	17345	-0.017842	-0.033862	0.0092716	0.97284	Prostate	f1070	Time watching TV	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17345	-0.00061521	-0.0011873	0.0059513	0.54117	Skin_Not_Sun_Exposed_Suprapubic	f1070	Time watching TV	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17345	-0.0024012	-0.0046624	0.0059695	0.65625	Skin_Sun_Exposed_Lower_leg	f1070	Time watching TV	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17345	-0.019258	-0.035434	0.0073569	0.99557	Small_Intestine_Terminal_Ileum	f1070	Time watching TV	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17345	-0.011845	-0.023483	0.0056434	0.98208	Spleen	f1070	Time watching TV	1	FALSE	Spleen
Stomach	COVAR	17345	-0.020218	-0.036746	0.0092232	0.98581	Stomach	f1070	Time watching TV	1	FALSE	Stomach
Testis	COVAR	17345	0.0051695	0.008926	0.0042374	0.11125	Testis	f1070	Time watching TV	1	FALSE	Testis
Thyroid	COVAR	17345	-0.002886	-0.0057167	0.0074478	0.6508	Thyroid	f1070	Time watching TV	1	FALSE	Thyroid
Uterus	COVAR	17345	-0.015781	-0.032162	0.0084036	0.96979	Uterus	f1070	Time watching TV	1	FALSE	Uterus
Vagina	COVAR	17345	-0.014762	-0.028244	0.0084387	0.95988	Vagina	f1070	Time watching TV	1	FALSE	Vagina
Whole_Blood	COVAR	17345	-0.0086901	-0.015707	0.0043273	0.97768	Whole_Blood	f1070	Time watching TV	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17346	-0.036606	-0.073071	0.0074092	1	Adipose_Subcutaneous	f1110	Time using phone	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17346	-0.039038	-0.075838	0.007691	1	Adipose_Visceral_Omentum	f1110	Time using phone	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17346	0.0021503	0.0041511	0.0068162	0.37621	Adrenal_Gland	f1110	Time using phone	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17346	-0.011622	-0.023721	0.0070413	0.95058	Artery_Aorta	f1110	Time using phone	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17346	-0.018768	-0.03737	0.0081938	0.989	Artery_Coronary	f1110	Time using phone	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17346	-0.012297	-0.025321	0.0068886	0.96287	Artery_Tibial	f1110	Time using phone	1	FALSE	Artery Tibial
Bladder	COVAR	17346	-0.03263	-0.063617	0.0089847	0.99986	Bladder	f1110	Time using phone	1	FALSE	Bladder
Brain_Amygdala	COVAR	17346	0.020496	0.034921	0.0053852	7.0889e-05	Brain_Amygdala	f1110	Time using phone	0.001843114	TRUE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17346	0.021886	0.038664	0.0049522	4.9791e-06	Brain_Anterior_cingulate_cortex_BA24	f1110	Time using phone	0.0001294566	TRUE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17346	0.018875	0.032606	0.0053934	0.00023347	Brain_Caudate_basal_ganglia	f1110	Time using phone	0.00607022	TRUE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17346	0.022257	0.04466	0.0041766	5.001e-08	Brain_Cerebellar_Hemisphere	f1110	Time using phone	1.30026e-06	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17346	0.023484	0.046617	0.0043067	2.5133e-08	Brain_Cerebellum	f1110	Time using phone	6.53458e-07	TRUE	Brain Cerebellum
Brain_Cortex	COVAR	17346	0.023591	0.043026	0.0048813	6.787e-07	Brain_Cortex	f1110	Time using phone	1.76462e-05	TRUE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17346	0.022642	0.041726	0.0047155	7.936e-07	Brain_Frontal_Cortex_BA9	f1110	Time using phone	2.06336e-05	TRUE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17346	0.021942	0.037161	0.0054806	3.1326e-05	Brain_Hippocampus	f1110	Time using phone	0.000814476	TRUE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17346	0.017202	0.029614	0.0055586	0.00098698	Brain_Hypothalamus	f1110	Time using phone	0.02566148	TRUE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17346	0.019748	0.034266	0.0052041	7.4153e-05	Brain_Nucleus_accumbens_basal_ganglia	f1110	Time using phone	0.001927978	TRUE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17346	0.018641	0.031721	0.0054414	0.00030716	Brain_Putamen_basal_ganglia	f1110	Time using phone	0.00798616	TRUE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17346	0.011592	0.020837	0.0059245	0.025203	Brain_Spinal_cord_cervical_c-1	f1110	Time using phone	0.655278	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17346	0.014859	0.025578	0.0058809	0.0057632	Brain_Substantia_nigra	f1110	Time using phone	0.1498432	FALSE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17346	-0.040647	-0.078181	0.0086894	1	Breast_Mammary_Tissue	f1110	Time using phone	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17346	-0.00093451	-0.0020025	0.004501	0.58224	Cells_Cultured_fibroblasts	f1110	Time using phone	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17346	-0.0040824	-0.0089077	0.003339	0.88926	Cells_EBV-transformed_lymphocytes	f1110	Time using phone	1	FALSE	Cells EBV-transformed lymphocytes
Cervix_Ectocervix	COVAR	17346	-0.0082875	-0.016248	0.0082862	0.84137	Cervix_Ectocervix	f1110	Time using phone	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17346	-0.0080276	-0.015895	0.0079282	0.84435	Cervix_Endocervix	f1110	Time using phone	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17346	-0.0030055	-0.0058812	0.0086079	0.63651	Colon_Sigmoid	f1110	Time using phone	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17346	-0.023197	-0.042665	0.0078982	0.99834	Colon_Transverse	f1110	Time using phone	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17346	-0.014128	-0.027816	0.0088128	0.94553	Esophagus_Gastroesophageal_Junction	f1110	Time using phone	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17346	-0.0087376	-0.016893	0.0052274	0.95268	Esophagus_Mucosa	f1110	Time using phone	1	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17346	-0.010829	-0.021364	0.0085362	0.89771	Esophagus_Muscularis	f1110	Time using phone	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17346	-0.015766	-0.030595	0.0080995	0.9742	Fallopian_Tube	f1110	Time using phone	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17346	0.00092991	0.0016697	0.0065263	0.44335	Heart_Atrial_Appendage	f1110	Time using phone	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17346	0.0038626	0.0064471	0.0062212	0.26734	Heart_Left_Ventricle	f1110	Time using phone	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17346	-0.01337	-0.023498	0.0061533	0.98509	Kidney_Cortex	f1110	Time using phone	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17346	-0.0097042	-0.017949	0.0063536	0.93665	Kidney_Medulla	f1110	Time using phone	1	FALSE	Kidney Medulla
Liver	COVAR	17346	-0.0079083	-0.01424	0.0043089	0.96676	Liver	f1110	Time using phone	1	FALSE	Liver
Lung	COVAR	17346	-0.023806	-0.046039	0.0062734	0.99993	Lung	f1110	Time using phone	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17346	-0.01442	-0.026845	0.0065653	0.98596	Minor_Salivary_Gland	f1110	Time using phone	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17346	0.0042569	0.0080512	0.0047186	0.18349	Muscle_Skeletal	f1110	Time using phone	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17346	-0.013727	-0.027635	0.0069308	0.97617	Nerve_Tibial	f1110	Time using phone	1	FALSE	Nerve Tibial
Ovary	COVAR	17346	0.0020044	0.0040636	0.0066111	0.38088	Ovary	f1110	Time using phone	1	FALSE	Ovary
Pancreas	COVAR	17346	-0.00185	-0.0030936	0.0057243	0.62672	Pancreas	f1110	Time using phone	1	FALSE	Pancreas
Pituitary	COVAR	17346	0.019116	0.035641	0.0061485	0.00093991	Pituitary	f1110	Time using phone	0.02443766	TRUE	Pituitary
Prostate	COVAR	17346	-0.015766	-0.029917	0.0081397	0.97361	Prostate	f1110	Time using phone	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17346	-0.014588	-0.028142	0.0052947	0.99706	Skin_Not_Sun_Exposed_Suprapubic	f1110	Time using phone	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17346	-0.015369	-0.029832	0.0053012	0.99813	Skin_Sun_Exposed_Lower_leg	f1110	Time using phone	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17346	-0.022437	-0.041273	0.00656	0.99969	Small_Intestine_Terminal_Ileum	f1110	Time using phone	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17346	-0.012612	-0.025	0.005021	0.99399	Spleen	f1110	Time using phone	1	FALSE	Spleen
Stomach	COVAR	17346	-0.017521	-0.031839	0.0081914	0.98377	Stomach	f1110	Time using phone	1	FALSE	Stomach
Testis	COVAR	17346	0.00041444	0.00071566	0.0038026	0.45661	Testis	f1110	Time using phone	1	FALSE	Testis
Thyroid	COVAR	17346	-0.014997	-0.029701	0.0066155	0.98829	Thyroid	f1110	Time using phone	1	FALSE	Thyroid
Uterus	COVAR	17346	-0.0048722	-0.0099282	0.0075048	0.7419	Uterus	f1110	Time using phone	1	FALSE	Uterus
Vagina	COVAR	17346	-0.016378	-0.031327	0.0075245	0.98524	Vagina	f1110	Time using phone	1	FALSE	Vagina
Whole_Blood	COVAR	17346	-0.0076576	-0.013836	0.0038228	0.97741	Whole_Blood	f1110	Time using phone	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17347	-0.028327	-0.056555	0.0078562	0.99984	Adipose_Subcutaneous	f1160	Sleep duration	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17347	-0.030453	-0.059171	0.0081849	0.9999	Adipose_Visceral_Omentum	f1160	Sleep duration	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17347	-0.017331	-0.033462	0.0073441	0.99085	Adrenal_Gland	f1160	Sleep duration	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17347	-0.013703	-0.027972	0.0074645	0.9668	Artery_Aorta	f1160	Sleep duration	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17347	-0.030452	-0.060642	0.0086935	0.99977	Artery_Coronary	f1160	Sleep duration	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17347	-0.016381	-0.033736	0.0073097	0.98748	Artery_Tibial	f1160	Sleep duration	1	FALSE	Artery Tibial
Bladder	COVAR	17347	-0.032449	-0.063274	0.0095606	0.99965	Bladder	f1160	Sleep duration	1	FALSE	Bladder
Brain_Amygdala	COVAR	17347	0.025545	0.043533	0.0057409	4.3293e-06	Brain_Amygdala	f1160	Sleep duration	0.0001125618	TRUE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17347	0.028614	0.050555	0.0052781	2.999e-08	Brain_Anterior_cingulate_cortex_BA24	f1160	Sleep duration	7.7974e-07	TRUE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17347	0.030748	0.053129	0.0057426	4.3513e-08	Brain_Caudate_basal_ganglia	f1160	Sleep duration	1.131338e-06	TRUE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17347	0.028412	0.057012	0.0044602	9.692e-11	Brain_Cerebellar_Hemisphere	f1160	Sleep duration	2.51992e-09	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17347	0.029034	0.057636	0.0046014	1.4325e-10	Brain_Cerebellum	f1160	Sleep duration	3.7245e-09	TRUE	Brain Cerebellum
Brain_Cortex	COVAR	17347	0.028716	0.05238	0.005211	1.8132e-08	Brain_Cortex	f1160	Sleep duration	4.71432e-07	TRUE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17347	0.028478	0.052482	0.0050286	7.5562e-09	Brain_Frontal_Cortex_BA9	f1160	Sleep duration	1.964612e-07	TRUE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17347	0.028907	0.04897	0.0058349	3.6679e-07	Brain_Hippocampus	f1160	Sleep duration	9.53654e-06	TRUE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17347	0.02896	0.049864	0.0059178	4.9945e-07	Brain_Hypothalamus	f1160	Sleep duration	1.29857e-05	TRUE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17347	0.032179	0.055844	0.0055488	3.3925e-09	Brain_Nucleus_accumbens_basal_ganglia	f1160	Sleep duration	8.8205e-08	TRUE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17347	0.029043	0.049435	0.0057846	2.5991e-07	Brain_Putamen_basal_ganglia	f1160	Sleep duration	6.75766e-06	TRUE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17347	0.012858	0.023121	0.0063081	0.020767	Brain_Spinal_cord_cervical_c-1	f1160	Sleep duration	0.539942	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17347	0.019334	0.033293	0.0062731	0.0010296	Brain_Substantia_nigra	f1160	Sleep duration	0.0267696	TRUE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17347	-0.043994	-0.084636	0.0092574	1	Breast_Mammary_Tissue	f1160	Sleep duration	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17347	-0.0060266	-0.012917	0.0047653	0.897	Cells_Cultured_fibroblasts	f1160	Sleep duration	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17347	-0.0057295	-0.012504	0.0035753	0.94547	Cells_EBV-transformed_lymphocytes	f1160	Sleep duration	1	FALSE	Cells EBV-transformed lymphocytes
Cervix_Ectocervix	COVAR	17347	-0.023631	-0.04634	0.0088821	0.99609	Cervix_Ectocervix	f1160	Sleep duration	1	FALSE	Cervix Ectocervix
Cervix_Endocervix	COVAR	17347	-0.012454	-0.024664	0.0084889	0.92881	Cervix_Endocervix	f1160	Sleep duration	1	FALSE	Cervix Endocervix
Colon_Sigmoid	COVAR	17347	-0.0040966	-0.0080168	0.009171	0.67245	Colon_Sigmoid	f1160	Sleep duration	1	FALSE	Colon Sigmoid
Colon_Transverse	COVAR	17347	-0.027116	-0.049878	0.0084411	0.99934	Colon_Transverse	f1160	Sleep duration	1	FALSE	Colon Transverse
Esophagus_Gastroesophageal_J...	COVAR	17347	-0.007717	-0.015196	0.0093805	0.79464	Esophagus_Gastroesophageal_Junction	f1160	Sleep duration	1	FALSE	Esophagus Gastroesophageal Junction
Esophagus_Mucosa	COVAR	17347	-0.022252	-0.04303	0.0055791	0.99997	Esophagus_Mucosa	f1160	Sleep duration	1	FALSE	Esophagus Mucosa
Esophagus_Muscularis	COVAR	17347	-0.006957	-0.013727	0.0091004	0.7777	Esophagus_Muscularis	f1160	Sleep duration	1	FALSE	Esophagus Muscularis
Fallopian_Tube	COVAR	17347	-0.015327	-0.029751	0.008635	0.96204	Fallopian_Tube	f1160	Sleep duration	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17347	-0.007069	-0.012694	0.0069862	0.84419	Heart_Atrial_Appendage	f1160	Sleep duration	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17347	-0.0073223	-0.012225	0.0066775	0.86358	Heart_Left_Ventricle	f1160	Sleep duration	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17347	-0.014379	-0.025274	0.0066175	0.9851	Kidney_Cortex	f1160	Sleep duration	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17347	-0.010349	-0.019144	0.0068085	0.93574	Kidney_Medulla	f1160	Sleep duration	1	FALSE	Kidney Medulla
Liver	COVAR	17347	-0.013928	-0.025082	0.0046412	0.99865	Liver	f1160	Sleep duration	1	FALSE	Liver
Lung	COVAR	17347	-0.014057	-0.02719	0.0067267	0.98167	Lung	f1160	Sleep duration	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17347	-0.026318	-0.049	0.0070744	0.9999	Minor_Salivary_Gland	f1160	Sleep duration	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17347	-0.0035419	-0.0067008	0.005107	0.75601	Muscle_Skeletal	f1160	Sleep duration	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17347	-0.016665	-0.033553	0.0073538	0.98827	Nerve_Tibial	f1160	Sleep duration	1	FALSE	Nerve Tibial
Ovary	COVAR	17347	-0.008256	-0.016741	0.0070944	0.87773	Ovary	f1160	Sleep duration	1	FALSE	Ovary
Pancreas	COVAR	17347	-0.017873	-0.029893	0.006149	0.99817	Pancreas	f1160	Sleep duration	1	FALSE	Pancreas
Pituitary	COVAR	17347	0.024254	0.045223	0.0065449	0.0001057	Pituitary	f1160	Sleep duration	0.0027482	TRUE	Pituitary
Prostate	COVAR	17347	-0.022205	-0.04214	0.0087844	0.99426	Prostate	f1160	Sleep duration	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17347	-0.015516	-0.029938	0.0056337	0.99705	Skin_Not_Sun_Exposed_Suprapubic	f1160	Sleep duration	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17347	-0.016666	-0.032356	0.0056413	0.99843	Skin_Sun_Exposed_Lower_leg	f1160	Sleep duration	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17347	-0.025771	-0.047413	0.0070113	0.99988	Small_Intestine_Terminal_Ileum	f1160	Sleep duration	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17347	-0.011645	-0.023089	0.0053784	0.98481	Spleen	f1160	Sleep duration	1	FALSE	Spleen
Stomach	COVAR	17347	-0.021743	-0.039516	0.008784	0.99334	Stomach	f1160	Sleep duration	1	FALSE	Stomach
Testis	COVAR	17347	0.0011871	0.0020488	0.004085	0.38568	Testis	f1160	Sleep duration	1	FALSE	Testis
Thyroid	COVAR	17347	-0.010876	-0.021545	0.0070773	0.93781	Thyroid	f1160	Sleep duration	1	FALSE	Thyroid
Uterus	COVAR	17347	-0.0081899	-0.016691	0.0079848	0.84747	Uterus	f1160	Sleep duration	1	FALSE	Uterus
Vagina	COVAR	17347	-0.030428	-0.058215	0.0080637	0.99992	Vagina	f1160	Sleep duration	1	FALSE	Vagina
Whole_Blood	COVAR	17347	-0.0038824	-0.0070151	0.0041059	0.82781	Whole_Blood	f1160	Sleep duration	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17350	-0.036831	-0.073535	0.0080952	1	Adipose_Subcutaneous	f1190	Daytime Naps	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17350	-0.042657	-0.082889	0.008378	1	Adipose_Visceral_Omentum	f1190	Daytime Naps	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17350	-0.0027275	-0.0052663	0.0075289	0.64142	Adrenal_Gland	f1190	Daytime Naps	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17350	-0.015558	-0.03176	0.0076814	0.97858	Artery_Aorta	f1190	Daytime Naps	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17350	-0.026413	-0.0526	0.0089286	0.99845	Artery_Coronary	f1190	Daytime Naps	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17350	-0.017198	-0.035419	0.0075207	0.98889	Artery_Tibial	f1190	Daytime Naps	1	FALSE	Artery Tibial
Bladder	COVAR	17350	-0.028941	-0.056436	0.0098101	0.99841	Bladder	f1190	Daytime Naps	1	FALSE	Bladder
Brain_Amygdala	COVAR	17350	0.029218	0.049788	0.005896	3.6404e-07	Brain_Amygdala	f1190	Daytime Naps	9.46504e-06	TRUE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17350	0.032454	0.057339	0.0054377	1.2232e-09	Brain_Anterior_cingulate_cortex_BA24	f1190	Daytime Naps	3.18032e-08	TRUE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17350	0.032342	0.055878	0.0059083	2.2314e-08	Brain_Caudate_basal_ganglia	f1190	Daytime Naps	5.80164e-07	TRUE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17350	0.024236	0.048632	0.0045634	5.5199e-08	Brain_Cerebellar_Hemisphere	f1190	Daytime Naps	1.435174e-06	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17350	0.025588	0.050796	0.0047041	2.7082e-08	Brain_Cerebellum	f1190	Daytime Naps	7.04132e-07	TRUE	Brain Cerebellum
Brain_Cortex	COVAR	17350	0.033334	0.060806	0.0053795	2.9523e-10	Brain_Cortex	f1190	Daytime Naps	7.67598e-09	TRUE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17350	0.03194	0.058866	0.0051862	3.7535e-10	Brain_Frontal_Cortex_BA9	f1190	Daytime Naps	9.7591e-09	TRUE	Brain Frontal Cortex BA9
