VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Colon	COVAR	17346	0.00036035	0.00067472	0.010821	0.48672	f1110	Time using phone	1	FALSE	Colon
Esophagus	COVAR	17346	-0.00070284	-0.0013243	0.011782	0.52378	f1110	Time using phone	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17346	-0.0026352	-0.0051135	0.0095532	0.60866	f1110	Time using phone	1	FALSE	Fallopian Tube
Heart	COVAR	17346	0.011241	0.019344	0.006558	0.043264	f1110	Time using phone	1	FALSE	Heart
Kidney	COVAR	17346	-0.0067961	-0.011961	0.0064927	0.85238	f1110	Time using phone	1	FALSE	Kidney
Liver	COVAR	17346	-0.0051578	-0.0092871	0.0044501	0.87677	f1110	Time using phone	1	FALSE	Liver
Lung	COVAR	17346	-0.021493	-0.041566	0.0072512	0.99848	f1110	Time using phone	1	FALSE	Lung
Muscle	COVAR	17346	0.0087988	0.016642	0.0047074	0.030811	f1110	Time using phone	0.801086	FALSE	Muscle
Nerve	COVAR	17346	-0.0029563	-0.0059516	0.0071724	0.65989	f1110	Time using phone	1	FALSE	Nerve
Ovary	COVAR	17346	0.013375	0.027117	0.0070422	0.02877	f1110	Time using phone	0.74802	FALSE	Ovary
Pancreas	COVAR	17346	0.0041245	0.006897	0.0059856	0.2454	f1110	Time using phone	1	FALSE	Pancreas
Pituitary	COVAR	17346	0.023767	0.044311	0.0057083	1.5746e-05	f1110	Time using phone	0.000409396	TRUE	Pituitary
Prostate	COVAR	17346	-0.0027501	-0.0052184	0.0094343	0.61466	f1110	Time using phone	1	FALSE	Prostate
Salivary_Gland	COVAR	17346	-0.0076998	-0.014334	0.007409	0.85065	f1110	Time using phone	1	FALSE	Salivary Gland
Skin	COVAR	17346	-0.0092311	-0.017607	0.0069485	0.90798	f1110	Time using phone	1	FALSE	Skin
Small_Intestine	COVAR	17346	-0.018313	-0.033688	0.0074232	0.99318	f1110	Time using phone	1	FALSE	Small Intestine
Spleen	COVAR	17346	-0.0089597	-0.01776	0.0054015	0.95141	f1110	Time using phone	1	FALSE	Spleen
Stomach	COVAR	17346	-0.0052388	-0.0095197	0.0093096	0.71319	f1110	Time using phone	1	FALSE	Stomach
Testis	COVAR	17346	0.0024582	0.0042449	0.0038124	0.25954	f1110	Time using phone	1	FALSE	Testis
Thyroid	COVAR	17346	-0.0074115	-0.014679	0.0074306	0.84072	f1110	Time using phone	1	FALSE	Thyroid
Uterus	COVAR	17346	0.009684	0.019733	0.0082938	0.12149	f1110	Time using phone	1	FALSE	Uterus
Vagina	COVAR	17346	-0.0061556	-0.011774	0.0086868	0.76072	f1110	Time using phone	1	FALSE	Vagina
Adipose_Tissue	COVAR	17347	-0.01892	-0.03716	0.009863	0.97245	f1160	Sleep duration	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17347	-0.003496	-0.0067499	0.007581	0.67765	f1160	Sleep duration	1	FALSE	Adrenal Gland
Bladder	COVAR	17347	-0.012865	-0.025086	0.01183	0.86158	f1160	Sleep duration	1	FALSE	Bladder
Blood	COVAR	17347	-0.0015113	-0.0027148	0.0045462	0.63022	f1160	Sleep duration	1	FALSE	Blood
Blood_Vessel	COVAR	17347	-0.0019581	-0.0039743	0.0086186	0.58986	f1160	Sleep duration	1	FALSE	Blood Vessel
Brain	COVAR	17347	0.031672	0.055024	0.0050317	1.5812e-10	f1160	Sleep duration	4.11112e-09	TRUE	Brain
Breast	COVAR	17347	-0.034935	-0.067209	0.011669	0.99862	f1160	Sleep duration	1	FALSE	Breast
Cervix_Uteri	COVAR	17347	0.0034229	0.0067273	0.010497	0.37218	f1160	Sleep duration	1	FALSE	Cervix Uteri
Colon	COVAR	17347	0.0050167	0.009394	0.011601	0.33272	f1160	Sleep duration	1	FALSE	Colon
Esophagus	COVAR	17347	-0.010442	-0.019679	0.012613	0.79612	f1160	Sleep duration	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17347	0.0052137	0.01012	0.010171	0.30412	f1160	Sleep duration	1	FALSE	Fallopian Tube
Heart	COVAR	17347	0.0040044	0.0068923	0.0070219	0.28425	f1160	Sleep duration	1	FALSE	Heart
Kidney	COVAR	17347	-0.0047074	-0.0082856	0.0069624	0.75051	f1160	Sleep duration	1	FALSE	Kidney
Liver	COVAR	17347	-0.010204	-0.018376	0.0047898	0.98342	f1160	Sleep duration	1	FALSE	Liver
Lung	COVAR	17347	-0.0042023	-0.0081283	0.0077803	0.70544	f1160	Sleep duration	1	FALSE	Lung
Muscle	COVAR	17347	0.0027802	0.0052597	0.0050969	0.29272	f1160	Sleep duration	1	FALSE	Muscle
Nerve	COVAR	17347	-0.0020946	-0.0042171	0.0076136	0.60838	f1160	Sleep duration	1	FALSE	Nerve
Ovary	COVAR	17347	0.0060407	0.012249	0.0075649	0.21229	f1160	Sleep duration	1	FALSE	Ovary
Pancreas	COVAR	17347	-0.010801	-0.018065	0.0064141	0.95389	f1160	Sleep duration	1	FALSE	Pancreas
Pituitary	COVAR	17347	0.030573	0.057005	0.0060861	2.5633e-07	f1160	Sleep duration	6.66458e-06	TRUE	Pituitary
Prostate	COVAR	17347	-0.0037928	-0.0071976	0.010204	0.64494	f1160	Sleep duration	1	FALSE	Prostate
Salivary_Gland	COVAR	17347	-0.018379	-0.034219	0.0079931	0.98925	f1160	Sleep duration	1	FALSE	Salivary Gland
Skin	COVAR	17347	-0.010365	-0.019775	0.0073869	0.9197	f1160	Sleep duration	1	FALSE	Skin
Small_Intestine	COVAR	17347	-0.018499	-0.034035	0.0079449	0.99005	f1160	Sleep duration	1	FALSE	Small Intestine
Spleen	COVAR	17347	-0.0055577	-0.011019	0.0057893	0.83147	f1160	Sleep duration	1	FALSE	Spleen
Stomach	COVAR	17347	-0.0038291	-0.0069591	0.0099893	0.64926	f1160	Sleep duration	1	FALSE	Stomach
Testis	COVAR	17347	0.0040024	0.0069073	0.0040942	0.16415	f1160	Sleep duration	1	FALSE	Testis
Thyroid	COVAR	17347	0.0023261	0.004608	0.007941	0.38479	f1160	Sleep duration	1	FALSE	Thyroid
Uterus	COVAR	17347	0.011306	0.023042	0.0088251	0.10009	f1160	Sleep duration	1	FALSE	Uterus
Vagina	COVAR	17347	-0.018813	-0.035993	0.0093361	0.97805	f1160	Sleep duration	1	FALSE	Vagina
Adipose_Tissue	COVAR	17350	-0.032376	-0.063591	0.010139	0.9993	f1190	Daytime Naps	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17350	0.013199	0.025484	0.0077642	0.044579	f1190	Daytime Naps	1	FALSE	Adrenal Gland
Bladder	COVAR	17350	-0.004867	-0.0094908	0.012098	0.65626	f1190	Daytime Naps	1	FALSE	Bladder
Blood	COVAR	17350	-0.0045227	-0.008125	0.0046691	0.83363	f1190	Daytime Naps	1	FALSE	Blood
Blood_Vessel	COVAR	17350	-0.00080987	-0.0016438	0.0088555	0.53643	f1190	Daytime Naps	1	FALSE	Blood Vessel
Brain	COVAR	17350	0.034266	0.059527	0.0051827	1.9597e-11	f1190	Daytime Naps	5.09522e-10	TRUE	Brain
Breast	COVAR	17350	-0.040615	-0.078141	0.011963	0.99966	f1190	Daytime Naps	1	FALSE	Breast
Cervix_Uteri	COVAR	17350	0.0032618	0.006411	0.010673	0.37995	f1190	Daytime Naps	1	FALSE	Cervix Uteri
Colon	COVAR	17350	0.0034301	0.0064231	0.011837	0.386	f1190	Daytime Naps	1	FALSE	Colon
Esophagus	COVAR	17350	0.00083401	0.0015719	0.012894	0.47421	f1190	Daytime Naps	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17350	-0.018497	-0.035902	0.010408	0.96222	f1190	Daytime Naps	1	FALSE	Fallopian Tube
Heart	COVAR	17350	-0.0041027	-0.0070619	0.0071813	0.7161	f1190	Daytime Naps	1	FALSE	Heart
Kidney	COVAR	17350	-0.0026336	-0.0046359	0.0071654	0.64339	f1190	Daytime Naps	1	FALSE	Kidney
Liver	COVAR	17350	-0.0080708	-0.014537	0.0049204	0.94952	f1190	Daytime Naps	1	FALSE	Liver
Lung	COVAR	17350	-0.01184	-0.022901	0.0080102	0.9303	f1190	Daytime Naps	1	FALSE	Lung
Muscle	COVAR	17350	-0.00026908	-0.00050907	0.0051327	0.5209	f1190	Daytime Naps	1	FALSE	Muscle
Nerve	COVAR	17350	0.0054632	0.011001	0.0078589	0.24348	f1190	Daytime Naps	1	FALSE	Nerve
Ovary	COVAR	17350	0.0051505	0.010444	0.0077224	0.25241	f1190	Daytime Naps	1	FALSE	Ovary
Pancreas	COVAR	17350	-0.00033273	-0.00055656	0.0066058	0.52009	f1190	Daytime Naps	1	FALSE	Pancreas
Pituitary	COVAR	17350	0.025074	0.046757	0.0062678	3.1741e-05	f1190	Daytime Naps	0.000825266	TRUE	Pituitary
Prostate	COVAR	17350	-0.00053632	-0.0010179	0.010348	0.52067	f1190	Daytime Naps	1	FALSE	Prostate
Salivary_Gland	COVAR	17350	-0.01969	-0.036661	0.0081179	0.99235	f1190	Daytime Naps	1	FALSE	Salivary Gland
Skin	COVAR	17350	-0.0075971	-0.014495	0.0075634	0.84241	f1190	Daytime Naps	1	FALSE	Skin
Small_Intestine	COVAR	17350	-0.008911	-0.016394	0.0080853	0.86479	f1190	Daytime Naps	1	FALSE	Small Intestine
Spleen	COVAR	17350	-0.0043406	-0.0086051	0.0059629	0.76667	f1190	Daytime Naps	1	FALSE	Spleen
Stomach	COVAR	17350	-0.0033352	-0.0060617	0.010284	0.62714	f1190	Daytime Naps	1	FALSE	Stomach
Testis	COVAR	17350	0.0053924	0.009314	0.0041956	0.099358	f1190	Daytime Naps	1	FALSE	Testis
Thyroid	COVAR	17350	-0.0055359	-0.010966	0.0081981	0.75024	f1190	Daytime Naps	1	FALSE	Thyroid
Uterus	COVAR	17350	0.0021964	0.0044764	0.0090488	0.40411	f1190	Daytime Naps	1	FALSE	Uterus
Vagina	COVAR	17350	-0.017801	-0.034062	0.0094421	0.9703	f1190	Daytime Naps	1	FALSE	Vagina
Adipose_Tissue	COVAR	17344	-0.016891	-0.033173	0.0092493	0.96608	f1239	Current smoker	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17344	-0.002876	-0.0055531	0.0071234	0.6568	f1239	Current smoker	1	FALSE	Adrenal Gland
Bladder	COVAR	17344	-0.011538	-0.022497	0.011156	0.84949	f1239	Current smoker	1	FALSE	Bladder
Blood	COVAR	17344	-0.0076634	-0.013766	0.0042564	0.9641	f1239	Current smoker	1	FALSE	Blood
Blood_Vessel	COVAR	17344	-0.015556	-0.031571	0.0081369	0.97204	f1239	Current smoker	1	FALSE	Blood Vessel
Brain	COVAR	17344	0.018002	0.031273	0.004744	7.4182e-05	f1239	Current smoker	0.001928732	TRUE	Brain
Breast	COVAR	17344	-0.0060934	-0.011722	0.010955	0.71096	f1239	Current smoker	1	FALSE	Breast
Cervix_Uteri	COVAR	17344	0.018118	0.035606	0.0097807	0.031994	f1239	Current smoker	0.831844	FALSE	Cervix Uteri
Colon	COVAR	17344	-0.00051878	-0.00097131	0.010919	0.51895	f1239	Current smoker	1	FALSE	Colon
Esophagus	COVAR	17344	-0.0090729	-0.017097	0.011833	0.77837	f1239	Current smoker	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17344	0.0014539	0.0028216	0.0095873	0.43973	f1239	Current smoker	1	FALSE	Fallopian Tube
Heart	COVAR	17344	-0.0087526	-0.015061	0.0065155	0.91041	f1239	Current smoker	1	FALSE	Heart
Kidney	COVAR	17344	-0.0049475	-0.0087073	0.0065175	0.7761	f1239	Current smoker	1	FALSE	Kidney
Liver	COVAR	17344	0.003157	0.0056849	0.0044772	0.24037	f1239	Current smoker	1	FALSE	Liver
Lung	COVAR	17344	-0.0091023	-0.017605	0.0072588	0.89506	f1239	Current smoker	1	FALSE	Lung
Muscle	COVAR	17344	-0.00046897	-0.00088707	0.0046899	0.53983	f1239	Current smoker	1	FALSE	Muscle
Nerve	COVAR	17344	0.0058884	0.011856	0.0071801	0.20608	f1239	Current smoker	1	FALSE	Nerve
Ovary	COVAR	17344	0.00776	0.015734	0.0070478	0.13544	f1239	Current smoker	1	FALSE	Ovary
Pancreas	COVAR	17344	0.00088986	0.0014879	0.0059809	0.44086	f1239	Current smoker	1	FALSE	Pancreas
Pituitary	COVAR	17344	0.014162	0.026406	0.0057503	0.0068991	f1239	Current smoker	0.1793766	FALSE	Pituitary
Prostate	COVAR	17344	0.006818	0.012939	0.0095729	0.23817	f1239	Current smoker	1	FALSE	Prostate
Salivary_Gland	COVAR	17344	-0.0049577	-0.0092299	0.0074488	0.74715	f1239	Current smoker	1	FALSE	Salivary Gland
Skin	COVAR	17344	0.002453	0.0046794	0.0068908	0.36093	f1239	Current smoker	1	FALSE	Skin
Small_Intestine	COVAR	17344	-0.014128	-0.025991	0.0074594	0.97088	f1239	Current smoker	1	FALSE	Small Intestine
Spleen	COVAR	17344	-0.0085081	-0.016869	0.0054415	0.94103	f1239	Current smoker	1	FALSE	Spleen
Stomach	COVAR	17344	-0.0021197	-0.0038518	0.0093739	0.58945	f1239	Current smoker	1	FALSE	Stomach
Testis	COVAR	17344	0.0012862	0.002221	0.003823	0.36828	f1239	Current smoker	1	FALSE	Testis
Thyroid	COVAR	17344	0.0017713	0.0035088	0.0074463	0.40599	f1239	Current smoker	1	FALSE	Thyroid
Uterus	COVAR	17344	0.0099553	0.020288	0.0082424	0.11357	f1239	Current smoker	1	FALSE	Uterus
Vagina	COVAR	17344	0.001364	0.0026096	0.0087017	0.43772	f1239	Current smoker	1	FALSE	Vagina
Adipose_Tissue	COVAR	17352	-0.012451	-0.024456	0.0094686	0.90574	f1319	Dried fruit intake	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17352	0.0062256	0.012022	0.0072573	0.1955	f1319	Dried fruit intake	1	FALSE	Adrenal Gland
Bladder	COVAR	17352	-0.017136	-0.033421	0.011434	0.93302	f1319	Dried fruit intake	1	FALSE	Bladder
Blood	COVAR	17352	0.0043152	0.0077522	0.0043628	0.16132	f1319	Dried fruit intake	1	FALSE	Blood
Blood_Vessel	COVAR	17352	-0.0077433	-0.015718	0.0082825	0.82507	f1319	Dried fruit intake	1	FALSE	Blood Vessel
Brain	COVAR	17352	0.021528	0.037401	0.0048387	4.3391e-06	f1319	Dried fruit intake	0.0001128166	TRUE	Brain
Breast	COVAR	17352	-0.014835	-0.02854	0.011196	0.9074	f1319	Dried fruit intake	1	FALSE	Breast
Cervix_Uteri	COVAR	17352	0.011282	0.022177	0.010047	0.13074	f1319	Dried fruit intake	1	FALSE	Cervix Uteri
Colon	COVAR	17352	0.0012149	0.0022754	0.011144	0.4566	f1319	Dried fruit intake	1	FALSE	Colon
Esophagus	COVAR	17352	-0.0041785	-0.0078752	0.012142	0.63463	f1319	Dried fruit intake	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17352	-0.010027	-0.019465	0.0097964	0.84697	f1319	Dried fruit intake	1	FALSE	Fallopian Tube
Heart	COVAR	17352	-0.0091916	-0.01582	0.0067874	0.91216	f1319	Dried fruit intake	1	FALSE	Heart
Kidney	COVAR	17352	-0.012092	-0.021287	0.0067084	0.96426	f1319	Dried fruit intake	1	FALSE	Kidney
Liver	COVAR	17352	-0.0014194	-0.0025567	0.0046092	0.62094	f1319	Dried fruit intake	1	FALSE	Liver
Lung	COVAR	17352	-0.018817	-0.036398	0.0074009	0.99449	f1319	Dried fruit intake	1	FALSE	Lung
Muscle	COVAR	17352	0.00077418	0.0014645	0.0048234	0.43624	f1319	Dried fruit intake	1	FALSE	Muscle
Nerve	COVAR	17352	0.0037697	0.0075907	0.0073472	0.30395	f1319	Dried fruit intake	1	FALSE	Nerve
Ovary	COVAR	17352	0.0052552	0.010658	0.0072308	0.23369	f1319	Dried fruit intake	1	FALSE	Ovary
Pancreas	COVAR	17352	-0.0051367	-0.0085911	0.0061505	0.79818	f1319	Dried fruit intake	1	FALSE	Pancreas
Pituitary	COVAR	17352	0.013903	0.025929	0.0058531	0.0087712	f1319	Dried fruit intake	0.2280512	FALSE	Pituitary
Prostate	COVAR	17352	-0.0083079	-0.015769	0.0097633	0.80259	f1319	Dried fruit intake	1	FALSE	Prostate
Salivary_Gland	COVAR	17352	-0.004455	-0.0082943	0.0075644	0.72205	f1319	Dried fruit intake	1	FALSE	Salivary Gland
Skin	COVAR	17352	0.00048747	0.00093003	0.0070925	0.4726	f1319	Dried fruit intake	1	FALSE	Skin
Small_Intestine	COVAR	17352	-0.0060958	-0.011216	0.0076394	0.78754	f1319	Dried fruit intake	1	FALSE	Small Intestine
Spleen	COVAR	17352	-0.0089019	-0.017649	0.005542	0.94588	f1319	Dried fruit intake	1	FALSE	Spleen
Stomach	COVAR	17352	-0.0043863	-0.0079725	0.0096052	0.67604	f1319	Dried fruit intake	1	FALSE	Stomach
Testis	COVAR	17352	0.0046255	0.0079869	0.0039288	0.11954	f1319	Dried fruit intake	1	FALSE	Testis
Thyroid	COVAR	17352	-0.0015512	-0.0030729	0.0075888	0.58098	f1319	Dried fruit intake	1	FALSE	Thyroid
Uterus	COVAR	17352	0.00051628	0.0010524	0.0084899	0.47576	f1319	Dried fruit intake	1	FALSE	Uterus
Vagina	COVAR	17352	-0.0023068	-0.0044136	0.0089457	0.60175	f1319	Dried fruit intake	1	FALSE	Vagina
Adipose_Tissue	COVAR	17341	-0.016818	-0.03302	0.008573	0.97509	f1359	Poultry intake	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17341	0.0073354	0.01416	0.0065579	0.13167	f1359	Poultry intake	1	FALSE	Adrenal Gland
Bladder	COVAR	17341	-0.0077568	-0.01512	0.010321	0.77385	f1359	Poultry intake	1	FALSE	Bladder
Blood	COVAR	17341	-0.0002561	-0.00046003	0.0039429	0.52589	f1359	Poultry intake	1	FALSE	Blood
Blood_Vessel	COVAR	17341	-0.014827	-0.030085	0.0075116	0.97579	f1359	Poultry intake	1	FALSE	Blood Vessel
Brain	COVAR	17341	0.0058009	0.010076	0.0043947	0.093427	f1359	Poultry intake	1	FALSE	Brain
Breast	COVAR	17341	-0.0076397	-0.014692	0.010162	0.77391	f1359	Poultry intake	1	FALSE	Breast
Cervix_Uteri	COVAR	17341	0.0054953	0.010796	0.0090926	0.2728	f1359	Poultry intake	1	FALSE	Cervix Uteri
Colon	COVAR	17341	0.0035264	0.0066014	0.010123	0.36379	f1359	Poultry intake	1	FALSE	Colon
Esophagus	COVAR	17341	0.014286	0.026914	0.010941	0.09584	f1359	Poultry intake	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17341	-0.0055222	-0.010714	0.008899	0.73254	f1359	Poultry intake	1	FALSE	Fallopian Tube
Heart	COVAR	17341	-0.00016949	-0.00029165	0.0060775	0.51112	f1359	Poultry intake	1	FALSE	Heart
Kidney	COVAR	17341	-0.013299	-0.023403	0.0060643	0.98584	f1359	Poultry intake	1	FALSE	Kidney
Liver	COVAR	17341	-0.0041625	-0.0074953	0.0041695	0.84093	f1359	Poultry intake	1	FALSE	Liver
Lung	COVAR	17341	-0.012458	-0.02409	0.0066974	0.96856	f1359	Poultry intake	1	FALSE	Lung
Muscle	COVAR	17341	-0.0090569	-0.017133	0.004349	0.98135	f1359	Poultry intake	1	FALSE	Muscle
Nerve	COVAR	17341	-0.005406	-0.010883	0.0066622	0.79144	f1359	Poultry intake	1	FALSE	Nerve
Ovary	COVAR	17341	0.0038539	0.0078122	0.0065712	0.27878	f1359	Poultry intake	1	FALSE	Ovary
Pancreas	COVAR	17341	0.0037756	0.0063134	0.0055886	0.24965	f1359	Poultry intake	1	FALSE	Pancreas
Pituitary	COVAR	17341	0.0076187	0.014203	0.0052992	0.07527	f1359	Poultry intake	1	FALSE	Pituitary
Prostate	COVAR	17341	0.018703	0.035487	0.0088249	0.017039	f1359	Poultry intake	0.443014	FALSE	Prostate
Salivary_Gland	COVAR	17341	0.0052659	0.0098019	0.0069264	0.22356	f1359	Poultry intake	1	FALSE	Salivary Gland
Skin	COVAR	17341	0.0062533	0.011927	0.0064028	0.16438	f1359	Poultry intake	1	FALSE	Skin
Small_Intestine	COVAR	17341	-0.0044787	-0.0082377	0.0069317	0.74089	f1359	Poultry intake	1	FALSE	Small Intestine
Spleen	COVAR	17341	0.0021611	0.0042835	0.0050351	0.33389	f1359	Poultry intake	1	FALSE	Spleen
Stomach	COVAR	17341	0.013354	0.024263	0.0087031	0.062481	f1359	Poultry intake	1	FALSE	Stomach
Testis	COVAR	17341	0.0033229	0.0057371	0.003539	0.17389	f1359	Poultry intake	1	FALSE	Testis
Thyroid	COVAR	17341	-0.010342	-0.020481	0.006884	0.93349	f1359	Poultry intake	1	FALSE	Thyroid
Uterus	COVAR	17341	0.0054514	0.011106	0.0077053	0.23964	f1359	Poultry intake	1	FALSE	Uterus
Vagina	COVAR	17341	0.014854	0.028407	0.0081033	0.033405	f1359	Poultry intake	0.86853	FALSE	Vagina
Adipose_Tissue	COVAR	17351	-0.009266	-0.018194	0.0091005	0.8457	f1438	Bread intake	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17351	0.0061212	0.011817	0.0069697	0.18991	f1438	Bread intake	1	FALSE	Adrenal Gland
Bladder	COVAR	17351	-0.016824	-0.032797	0.010917	0.93834	f1438	Bread intake	1	FALSE	Bladder
Blood	COVAR	17351	-0.0028489	-0.0051181	0.0041672	0.75289	f1438	Bread intake	1	FALSE	Blood
Blood_Vessel	COVAR	17351	0.0060912	0.012361	0.0079197	0.22092	f1438	Bread intake	1	FALSE	Blood Vessel
Brain	COVAR	17351	0.013887	0.024121	0.0046251	0.0013409	f1438	Bread intake	0.0348634	TRUE	Brain
Breast	COVAR	17351	-0.012604	-0.024241	0.010797	0.87847	f1438	Bread intake	1	FALSE	Breast
Cervix_Uteri	COVAR	17351	-0.007373	-0.014485	0.0095504	0.77994	f1438	Bread intake	1	FALSE	Cervix Uteri
Colon	COVAR	17351	0.0051722	0.0096825	0.010679	0.31407	f1438	Bread intake	1	FALSE	Colon
Esophagus	COVAR	17351	-0.011045	-0.020811	0.011608	0.82932	f1438	Bread intake	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17351	-0.011376	-0.022071	0.0092961	0.88946	f1438	Bread intake	1	FALSE	Fallopian Tube
Heart	COVAR	17351	0.0035022	0.0060267	0.0065108	0.29533	f1438	Bread intake	1	FALSE	Heart
Kidney	COVAR	17351	0.0045471	0.0080031	0.0063475	0.23689	f1438	Bread intake	1	FALSE	Kidney
Liver	COVAR	17351	0.0018944	0.0034114	0.0043852	0.33288	f1438	Bread intake	1	FALSE	Liver
Lung	COVAR	17351	-0.014873	-0.02876	0.007057	0.98246	f1438	Bread intake	1	FALSE	Lung
Muscle	COVAR	17351	-0.00158	-0.0029886	0.0046349	0.63341	f1438	Bread intake	1	FALSE	Muscle
Nerve	COVAR	17351	-0.00040337	-0.00081195	0.0070375	0.52285	f1438	Bread intake	1	FALSE	Nerve
Ovary	COVAR	17351	0.0011826	0.0023974	0.0068968	0.43193	f1438	Bread intake	1	FALSE	Ovary
Pancreas	COVAR	17351	0.0012506	0.0020914	0.005909	0.41619	f1438	Bread intake	1	FALSE	Pancreas
Pituitary	COVAR	17351	0.010564	0.019694	0.0056217	0.030123	f1438	Bread intake	0.783198	FALSE	Pituitary
Prostate	COVAR	17351	-0.0012057	-0.0022877	0.0092308	0.55196	f1438	Bread intake	1	FALSE	Prostate
Salivary_Gland	COVAR	17351	-0.010207	-0.019001	0.0073148	0.91855	f1438	Bread intake	1	FALSE	Salivary Gland
Skin	COVAR	17351	-0.011082	-0.021138	0.0067793	0.94894	f1438	Bread intake	1	FALSE	Skin
Small_Intestine	COVAR	17351	-0.0026408	-0.0048567	0.0073064	0.64111	f1438	Bread intake	1	FALSE	Small Intestine
Spleen	COVAR	17351	-0.0024902	-0.0049355	0.0053152	0.68029	f1438	Bread intake	1	FALSE	Spleen
Stomach	COVAR	17351	0.001553	0.0028218	0.0091102	0.43232	f1438	Bread intake	1	FALSE	Stomach
Testis	COVAR	17351	0.0038808	0.0067003	0.0037436	0.14996	f1438	Bread intake	1	FALSE	Testis
Thyroid	COVAR	17351	9.6838e-05	0.00019176	0.0073213	0.49472	f1438	Bread intake	1	FALSE	Thyroid
Uterus	COVAR	17351	0.0074591	0.015198	0.0080842	0.17809	f1438	Bread intake	1	FALSE	Uterus
Vagina	COVAR	17351	-0.016915	-0.032352	0.0084974	0.97673	f1438	Bread intake	1	FALSE	Vagina
Adipose_Tissue	COVAR	17343	-0.0070744	-0.013894	0.0092902	0.77681	f1448.1	White bread consumption	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17343	0.0060348	0.011653	0.0071138	0.19813	f1448.1	White bread consumption	1	FALSE	Adrenal Gland
Bladder	COVAR	17343	-0.024131	-0.04705	0.011108	0.98508	f1448.1	White bread consumption	1	FALSE	Bladder
Blood	COVAR	17343	0.00012915	0.00023204	0.0042649	0.48792	f1448.1	White bread consumption	1	FALSE	Blood
Blood_Vessel	COVAR	17343	-0.0048965	-0.0099383	0.0080708	0.72797	f1448.1	White bread consumption	1	FALSE	Blood Vessel
Brain	COVAR	17343	0.024094	0.041851	0.0047204	1.6784e-07	f1448.1	White bread consumption	4.36384e-06	TRUE	Brain
Breast	COVAR	17343	-0.016947	-0.0326	0.010992	0.93842	f1448.1	White bread consumption	1	FALSE	Breast
Cervix_Uteri	COVAR	17343	-0.009698	-0.019059	0.0097896	0.83906	f1448.1	White bread consumption	1	FALSE	Cervix Uteri
Colon	COVAR	17343	0.011114	0.020813	0.010869	0.15325	f1448.1	White bread consumption	1	FALSE	Colon
Esophagus	COVAR	17343	-0.023676	-0.044619	0.01178	0.97777	f1448.1	White bread consumption	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17343	-0.015143	-0.029385	0.0096096	0.94246	f1448.1	White bread consumption	1	FALSE	Fallopian Tube
Heart	COVAR	17343	0.0053928	0.0092832	0.0065776	0.20615	f1448.1	White bread consumption	1	FALSE	Heart
Kidney	COVAR	17343	-0.0010439	-0.0018374	0.0064615	0.56417	f1448.1	White bread consumption	1	FALSE	Kidney
Liver	COVAR	17343	-0.0049906	-0.0089892	0.0044644	0.86818	f1448.1	White bread consumption	1	FALSE	Liver
Lung	COVAR	17343	-0.0084813	-0.016402	0.0072665	0.87842	f1448.1	White bread consumption	1	FALSE	Lung
Muscle	COVAR	17343	0.005911	0.011183	0.0047192	0.1052	f1448.1	White bread consumption	1	FALSE	Muscle
Nerve	COVAR	17343	-0.0086863	-0.017489	0.0072125	0.88576	f1448.1	White bread consumption	1	FALSE	Nerve
Ovary	COVAR	17343	0.010755	0.021808	0.0070793	0.064365	f1448.1	White bread consumption	1	FALSE	Ovary
Pancreas	COVAR	17343	0.0005361	0.0008968	0.006016	0.4645	f1448.1	White bread consumption	1	FALSE	Pancreas
Pituitary	COVAR	17343	0.014209	0.026493	0.0057173	0.0064764	f1448.1	White bread consumption	0.1683864	FALSE	Pituitary
Prostate	COVAR	17343	-0.0074979	-0.014229	0.0095818	0.78304	f1448.1	White bread consumption	1	FALSE	Prostate
Salivary_Gland	COVAR	17343	-0.012442	-0.023162	0.0074911	0.95162	f1448.1	White bread consumption	1	FALSE	Salivary Gland
Skin	COVAR	17343	-0.014206	-0.027099	0.006889	0.98039	f1448.1	White bread consumption	1	FALSE	Skin
Small_Intestine	COVAR	17343	-0.0033189	-0.0061055	0.0074456	0.67211	f1448.1	White bread consumption	1	FALSE	Small Intestine
Spleen	COVAR	17343	-0.00059766	-0.0011848	0.0054462	0.54369	f1448.1	White bread consumption	1	FALSE	Spleen
Stomach	COVAR	17343	5.641e-05	0.00010252	0.0093905	0.4976	f1448.1	White bread consumption	1	FALSE	Stomach
