coef	exp.coef.	se.coef.	z	Pr...z..	nrow.stored.	fdr	Field	FieldID	Value	FieldName	Coding	Meaning
-0.00324328428965647	0.996761969475483	0.0576315360826477	-0.0562762076132306	0.95512177236501	225349	0.95512177236501	f1448.4	1448	4	Bread type	100391	Other type of bread
0.00927330386980728	1.00931643416917	0.0331581254077299	0.279669123503752	0.77973136925505	225349	0.789125723101497	f1448.2	1448	2	Bread type	100391	Brown
-0.0197066904926025	0.980486217064372	0.0436575407041405	-0.451392592774552	0.651706620977467	233334	0.667601904415942	f1418.1	1418	1	Milk type used	100387	Full cream
-0.0120160948914888	0.988055810082906	0.0226635895625763	-0.530193809692467	0.595977562562886	233235	0.618050805620771	f1428.1	1428	1	Spread type	100388	Butter/spreadable butter
0.043936730605423	1.044916241579	0.0623348958517127	0.704849667350745	0.480903795853915	233334	0.504948985646611	f1418.6	1418	6	Milk type used	100387	Never/rarely have milk
-0.0127526448919107	0.987328325522838	0.0152108475676377	-0.838391472612154	0.401810877095987	226539	0.427241945266619	f1289	1289		Cooked vegetable intake	100373	
-0.0230564666401939	0.977207302602193	0.0272017682788202	-0.847609111432146	0.396655698364691	233334	0.427167675161974	f1418.3	1418	3	Milk type used	100387	Skimmed
0.0958621581548327	1.10060734379045	0.0894617451845265	1.07154357381587	0.283925089194065	232943	0.30973646093898	f6144.2	6144	2	Never eat eggs, dairy, wheat, sugar	100385	Dairy products
0.0358498961460621	1.03650025213111	0.0229255417730105	1.56375349821687	0.117875468723322	233334	0.130283412799462	f1418.2	1418	2	Milk type used	100387	Semi-skimmed
0.03866903514285	1.03942641310134	0.0225610476502112	1.71397338201571	0.0865336145386149	184498	0.0969176482832486	f1060	1060		Time spent outdoors in winter	100329	
-0.0628919847954394	0.939044899338172	0.0344890241265528	-1.82353622313771	0.0682222160194995	232669	0.077441434400513	f6164.2	6164	2	Types of physical activity in last 4 weeks	100316	Other exercises (eg: swimming, cycling, keep fit, bowling)
-0.0287118577603561	0.971696410912564	0.0151291657832163	-1.89778195121689	0.0577248117555897	180811	0.0664230710612265	f1080	1080		Time spent using computer	100329	
-0.0761358365483604	0.926690319595138	0.0376966968926022	-2.01969516759708	0.0434150166692139	220331	0.0506508527807495	f2277	2277		Frequency of solarium/sunlamp use	100537	
-0.301247221684081	0.739894832087759	0.142060560815594	-2.12055492358026	0.0339592748802255	232669	0.0401771702808302	f6164.3	6164	3	Types of physical activity in last 4 weeks	100316	Strenuous sports
0.306564513363129	1.35874912212529	0.121883972934956	2.5152159548223	0.0118959491789179	233235	0.0142751390147015	f1428.2	1428	2	Spread type	100388	Flora Pro-Active/Benecol
0.236378444642399	1.26665357773331	0.090846618895169	2.60195093132926	0.00926951138983019	233334	0.0112846225615324	f1418.5	1418	5	Milk type used	100387	Other type of milk
-0.0763656319308473	0.926477394904192	0.0264784318729945	-2.88406927937198	0.003925723783335	232706	0.00484942349706089	f6162.1	6162	1	Types of transport used (excluding work)	100299	Car/motor vehicle
-0.032717189476229	0.96781222837222	0.0111226695044968	-2.94148715494979	0.00326640389381952	226211	0.00409519294150507	f1488	1488		Tea intake	100373	
-0.0552290324907268	0.946268396925074	0.0177188147355325	-3.11697104547139	0.00182719517058435	155454	0.00232552112619826	f1090	1090		Time spent driving	100329	
-0.044878439141787	0.956113700771135	0.0142879935517106	-3.14098959936988	0.00168378011805916	232623	0.00217596199872261	f1339	1339		Non-oily fish intake	100377	
-0.038594360521853	0.962140912337691	0.0121145962712557	-3.18577356254339	0.0014436754331568	200235	0.0018948240060183	f874	874		Duration of walks	100291	
-0.0334891004471466	0.967065451754963	0.0100671203555906	-3.32658190865365	0.000879181766758418	232276	0.00117224235567789	f1160	1160		Sleep duration	100291	
0.255967921499866	1.29171129111427	0.0738232958034562	3.46730552617622	0.000525703988888839	232943	0.000712244113978427	f6144.3	6144	3	Never eat eggs, dairy, wheat, sugar	100385	Wheat products
0.636045619080958	1.8889962797345	0.182963356064325	3.47635522632926	0.000508278566632511	232706	0.000699924583559524	f6162.100	6162	-7	Types of transport used (excluding work)	100299	None of the above
0.0298023847292739	1.03025092052104	0.00803706488384466	3.7081179709249	0.000208805380418307	230699	0.000292327532585629	f1110	1110		Length of mobile phone use	100335	
